city,year,month,date,price
福州,2021,12,2021-12,19288
福州,2022,1,2022-01,19530
福州,2022,2,2022-02,19505
福州,2022,3,2022-03,19013
福州,2022,4,2022-04,18720
福州,2022,5,2022-05,18705
福州,2022,6,2022-06,18939
福州,2022,7,2022-07,19239
福州,2022,8,2022-08,19569
福州,2022,9,2022-09,19818
福州,2022,10,2022-10,19686
福州,2022,11,2022-11,19658
福州,2022,12,2022-12,19837
福州,2023,1,2023-01,19655
福州,2023,2,2023-02,19640
福州,2023,3,2023-03,19569
福州,2023,4,2023-04,19879
福州,2023,5,2023-05,19662
福州,2023,6,2023-06,19697
福州,2023,7,2023-07,19814
福州,2023,8,2023-08,19628
福州,2023,9,2023-09,19913
福州,2023,10,2023-10,20143
福州,2023,11,2023-11,20076
福州,2023,12,2023-12,20278
福州,2024,1,2024-01,19960
福州,2024,2,2024-02,20824
福州,2024,3,2024-03,20699
福州,2024,4,2024-04,20775
福州,2024,5,2024-05,20920
福州,2024,6,2024-06,21103
福州,2024,7,2024-07,20949
福州,2024,8,2024-08,20949
福州,2024,9,2024-09,21052
福州,2024,10,2024-10,20774
福州,2024,11,2024-11,20599
福州,2024,12,2024-12,20846
福州,2025,1,2025-01,20763
福州,2025,2,2025-02,20548
福州,2025,3,2025-03,20380
福州,2025,4,2025-04,20232
福州,2025,5,2025-05,20089
福州,2025,6,2025-06,19889
福州,2025,7,2025-07,19889
福州,2025,8,2025-08,19965
福州,2025,9,2025-09,19965
福州,2025,10,2025-10,19822
福州,2025,11,2025-11,19695
福州,2025,12,2025-12,19585
济南,2017,1,2017-01,10982
济南,2017,2,2017-02,11185
济南,2017,3,2017-03,11699
济南,2017,4,2017-04,12215
济南,2017,5,2017-05,12645
济南,2017,6,2017-06,13713
济南,2017,7,2017-07,14713
济南,2017,8,2017-08,15933
济南,2017,9,2017-09,15608
济南,2017,10,2017-10,14764
济南,2017,11,2017-11,15641
济南,2017,12,2017-12,16188
济南,2018,1,2018-01,16358
济南,2018,2,2018-02,16292
济南,2018,3,2018-03,15713
济南,2018,4,2018-04,16152
济南,2018,5,2018-05,16590
济南,2018,6,2018-06,16821
济南,2018,7,2018-07,16546
济南,2018,8,2018-08,17298
济南,2018,9,2018-09,17128
济南,2018,10,2018-10,16778
济南,2018,11,2018-11,16188
济南,2018,12,2018-12,15827
济南,2019,1,2019-01,15669
济南,2019,2,2019-02,15823
济南,2019,3,2019-03,15608
济南,2019,4,2019-04,15734
济南,2019,5,2019-05,15776
济南,2019,6,2019-06,15724
济南,2019,7,2019-07,15498
济南,2019,8,2019-08,15372
济南,2019,9,2019-09,14862
济南,2019,10,2019-10,14707
济南,2019,11,2019-11,14557
济南,2019,12,2019-12,14547
济南,2020,1,2020-01,14623
济南,2020,2,2020-02,14573
济南,2020,3,2020-03,14419
济南,2020,4,2020-04,14406
济南,2020,5,2020-05,14490
济南,2020,6,2020-06,14495
济南,2020,7,2020-07,14295
济南,2020,8,2020-08,14441
济南,2020,9,2020-09,14501
济南,2020,10,2020-10,14542
济南,2020,11,2020-11,13722
济南,2020,12,2020-12,13471
济南,2021,1,2021-01,13365
济南,2021,2,2021-02,13327
济南,2021,3,2021-03,13274
济南,2021,4,2021-04,13486
济南,2021,5,2021-05,13225
济南,2021,6,2021-06,13687
济南,2021,7,2021-07,13677
济南,2021,8,2021-08,14214
济南,2021,9,2021-09,14247
济南,2021,10,2021-10,14228
济南,2021,11,2021-11,14265
济南,2021,12,2021-12,14051
济南,2022,1,2022-01,13993
济南,2022,2,2022-02,14169
济南,2022,3,2022-03,14250
济南,2022,4,2022-04,14220
济南,2022,5,2022-05,14553
济南,2022,6,2022-06,14561
济南,2022,7,2022-07,14411
