Direction,District,Elevator,Floor,Garden,Id,Layout,Total_Price,Region,Renovation,Size,Year,Price
南,,有电梯,7,,BJ_0494,3室2厅,768.01029,海淀,精装,127.81,,6.009
南,,有电梯,12,,BJ_0495,2室1厅,492.001092,海淀,精装,54.78,,8.9814
南,,有电梯,12,,BJ_0496,4室1厅,1000.00524,海淀,精装,141.7,,7.0572
南,,有电梯,24,,BJ_0497,2室1厅,628.00608,海淀,精装,62.4,,10.0642
南,,无电梯,5,,BJ_0498,3室2厅,1600.0044869999997,海淀,精装,156.57,,10.2191
南,,无电梯,3,,BJ_0499,2室2厅,820.0053000000001,海淀,精装,93.4,,8.7795
南,,无电梯,4,,BJ_0500,3室0厅,430.004269,海淀,精装,60.31,,7.1299
南,,有电梯,25,,BJ_0501,3室1厅,465.0061,海淀,精装,68.9,,6.749
南,,有电梯,6,,BJ_0502,4室1厅,565.0006999999999,海淀,精装,173.0,,3.2659
南,,有电梯,23,,BJ_0503,4室2厅,1700.0064,海淀,精装,216.0,,7.8704
南,,有电梯,19,,BJ_0504,3室1厅,435.003,海淀,精装,83.0,,5.241
南,,有电梯,19,,BJ_0505,2室0厅,315.00185999999997,海淀,精装,51.9,,6.0694
南,,有电梯,16,,BJ_0506,3室2厅,720.0060840000001,海淀,精装,144.18,,4.9938
南,,无电梯,3,,BJ_0507,2室1厅,450.00228,海淀,精装,58.8,,7.6531
南,,无电梯,2,,BJ_0508,2室1厅,420.00093000000004,海淀,精装,62.1,,6.7633
南,,无电梯,2,,BJ_0509,3室1厅,1380.011907,海淀,精装,160.97,,8.5731
南,,有电梯,9,,BJ_0510,1室1厅,360.00703999999996,海淀,精装,73.6,,4.8914
南,,有电梯,16,,BJ_0511,4室2厅,550.0112,海淀,精装,136.0,,4.0442
南,,无电梯,1,,BJ_0512,2室1厅,400.00285999999994,海淀,精装,69.8,,5.7307
南,,无电梯,5,,BJ_0513,2室2厅,1050.0072,海淀,精装,132.0,,7.9546
南,,有电梯,15,,BJ_0514,1室1厅,245.00001999999998,海淀,精装,56.9,,4.3058
南,,有电梯,10,,BJ_0515,3室1厅,480.00100000000003,海淀,精装,74.0,,6.4865
南,,无电梯,4,,BJ_0516,2室1厅,550.0023679999999,海淀,精装,64.64,,8.5087
南,,有电梯,11,,BJ_0517,3室1厅,568.0073110000001,海淀,精装,123.73,,4.5907
南,,有电梯,14,,BJ_0518,4室2厅,1100.007824,海淀,精装,232.03,,4.7408
南,,有电梯,18,,BJ_0519,2室1厅,440.0008,海淀,精装,68.0,,6.4706
南,,无电梯,4,,BJ_0520,2室1厅,675.00926,海淀,精装,110.65,,6.1004
南,,有电梯,25,,BJ_0521,2室2厅,1060.009095,海淀,精装,100.91,,10.5045
南,,无电梯,2,,BJ_0522,2室2厅,480.00698,海淀,精装,90.67,,5.294
南,,有电梯,14,,BJ_0523,4室2厅,515.007882,海淀,精装,123.94,,4.1553
南,,无电梯,4,,BJ_0524,5室2厅,650.001888,海淀,精装,190.46,,3.4128
南,,无电梯,1,,BJ_0525,1室1厅,332.0037,海淀,精装,63.0,,5.2699
南,,有电梯,15,,BJ_0526,2室2厅,590.0121009999999,海淀,精装,149.17,,3.9553
南,,无电梯,3,,BJ_0527,2室2厅,490.00691600000005,海淀,精装,99.26,,4.9366
南,,有电梯,7,,BJ_0528,2室2厅,490.00078399999995,海淀,精装,101.92,,4.8077
南,,无电梯,4,,BJ_0529,3室2厅,1100.001,海淀,精装,147.0,,7.483
南,,无电梯,6,,BJ_0530,3室1厅,665.000018,海淀,精装,82.54,,8.0567
南,,有电梯,15,,BJ_0531,2室1厅,480.007038,海淀,精装,91.14,,5.2667
南,,有电梯,10,,BJ_0532,3室2厅,730.0128,海淀,精装,132.0,,5.5304
南,,有电梯,25,,BJ_0533,2室1厅,545.0055480000001,海淀,精装,85.62,,6.3654
南,,有电梯,8,,BJ_0534,2室1厅,290.00280000000004,海淀,精装,67.0,,4.3284
南,,无电梯,1,,BJ_0535,3室2厅,950.0086259999999,海淀,精装,127.26,,7.4651
南,,有电梯,12,,BJ_0536,2室1厅,395.00292,海淀,精装,59.8,,6.6054
南,,有电梯,10,,BJ_0537,3室1厅,590.0087,海淀,精装,107.0,,5.5141
南,,有电梯,11,,BJ_0538,1室1厅,370.0004,海淀,精装,44.0,,8.4091
南,,有电梯,7,,BJ_0539,1室0厅,365.005332,海淀,精装,56.04,,6.5133
南,,无电梯,1,,BJ_0540,2室1厅,460.0064,海淀,精装,68.0,,6.7648
南,,有电梯,18,,BJ_0541,4室1厅,930.00915,海淀,精装,119.7,,7.7695
南,,有电梯,8,,BJ_0542,2室1厅,630.0036200000001,海淀,精装,58.7,,10.7326
南,,有电梯,11,,BJ_0543,1室1厅,340.001595,海淀,精装,48.15,,7.0613
南,,有电梯,7,,BJ_0544,3室1厅,520.0043,海淀,精装,70.6,,7.3655
南,,有电梯,25,,BJ_0545,1室1厅,320.001465,海淀,精装,52.85,,6.0549
南,,有电梯,12,,BJ_0546,3室1厅,1050.0072,海淀,精装,88.0,,11.9319
南,,无电梯,2,,BJ_0547,1室2厅,458.002949,海淀,精装,68.27,,6.7087
南,,无电梯,2,,BJ_0548,1室1厅,260.00143399999996,海淀,精装,45.22,,5.7497
南,,有电梯,23,,BJ_0549,2室2厅,469.00044800000006,海淀,精装,100.48,,4.6676
南,,有电梯,19,,BJ_0550,1室1厅,328.00156400000003,海淀,精装,60.28,,5.4413
南,,无电梯,1,,BJ_0551,2室1厅,465.00730500000003,海淀,精装,90.65,,5.1297
南,,有电梯,10,,BJ_0552,1室1厅,370.000692,海淀,精装,76.77,,4.8196
南,,有电梯,10,,BJ_0553,3室1厅,650.0015999999999,海淀,精装,72.0,,9.0278
南,,有电梯,9,,BJ_0554,1室1厅,350.00136,海淀,精装,40.4,,8.6634
南,,无电梯,4,,BJ_0555,1室0厅,255.00300000000001,海淀,精装,42.0,,6.0715
南,,有电梯,25,,BJ_0556,3室1厅,630.0018,海淀,精装,81.0,,7.7778
南,,有电梯,8,,BJ_0557,2室2厅,848.000398,海淀,精装,105.77,,8.0174
南,,有电梯,18,,BJ_0558,2室1厅,497.00789999999995,海淀,精装,101.7,,4.887
南,,有电梯,21,,BJ_0559,2室1厅,880.0002,海淀,精装,114.0,,7.7193
南,,有电梯,25,,BJ_0560,3室1厅,370.0,海淀,精装,62.5,,5.92
南,,有电梯,24,,BJ_0561,2室1厅,530.0064,海淀,精装,84.0,,6.3096
南,,有电梯,22,,BJ_0562,1室1厅,360.00036,海淀,精装,40.4,,8.9109
南,,有电梯,14,,BJ_0563,2室2厅,620.000754,海淀,精装,112.26,,5.5229
南,,有电梯,12,,BJ_0564,2室1厅,430.00363999999996,海淀,精装,86.6,,4.9654
南,,有电梯,13,,BJ_0565,2室1厅,500.008148,海淀,精装,81.61,,6.1268
南,,无电梯,6,,BJ_0566,3室2厅,750.00702,海淀,精装,140.28,,5.3465
南,,有电梯,16,,BJ_0567,3室1厅,800.0062079999999,海淀,精装,80.49,,9.9392
南,,有电梯,10,,BJ_0568,2室1厅,440.00239999999997,海淀,精装,67.0,,6.5672
南,,无电梯,2,,BJ_0569,2室1厅,705.0097599999999,海淀,精装,118.1,,5.9696
南,,无电梯,3,,BJ_0570,2室1厅,430.000074,海淀,精装,64.89,,6.6266
南,,有电梯,11,,BJ_0571,1室1厅,190.00000799999998,石景山,精装,46.32,,4.1019
南,,有电梯,15,,BJ_0572,3室2厅,915.0040799999999,石景山,精装,118.77,,7.704
南,,有电梯,23,,BJ_0573,2室2厅,350.0046,石景山,精装,99.0,,3.5354
南,,无电梯,5,,BJ_0574,2室1厅,245.00433999999998,石景山,精装,79.1,,3.0974
南,,有电梯,23,,BJ_0575,2室1厅,205.00506,石景山,精装,66.69,,3.074
南,,有电梯,20,,BJ_0576,1室1厅,240.00250999999997,石景山,精装,54.41,,4.411
南,,有电梯,16,,BJ_0577,2室1厅,225.0024,石景山,精装,59.0,,3.8136
南,,无电梯,5,,BJ_0578,2室1厅,188.004492,石景山,精装,55.03,,3.4164
南,,有电梯,7,,BJ_0579,1室1厅,125.00201999999999,石景山,精装,66.3,,1.8854
南,,有电梯,11,,BJ_0580,2室1厅,638.0054,石景山,精装,89.0,,7.1686
南,,无电梯,4,,BJ_0581,3室2厅,950.0083999999999,石景山,精装,142.0,,6.6902
南,,有电梯,10,,BJ_0582,2室1厅,210.0042,石景山,精装,58.8,,3.5715
南,,无电梯,3,,BJ_0583,1室1厅,225.00125400000002,石景山,精装,61.34,,3.6681
南,,有电梯,10,,BJ_0584,2室1厅,205.004925,石景山,精装,50.25,,4.0797
南,,无电梯,3,,BJ_0585,3室1厅,365.00481999999994,石景山,精装,89.3,,4.0874
南,,有电梯,15,,BJ_0586,3室1厅,360.00300000000004,石景山,精装,79.0,,4.557
南,,无电梯,4,,BJ_0587,3室2厅,580.0013899999999,石景山,精装,120.22,,4.8245
南,,无电梯,5,,BJ_0588,1室1厅,225.00396800000001,石景山,精装,55.96,,4.0208
南,,有电梯,11,,BJ_0589,1室1厅,236.00254999999999,石景山,精装,62.65,,3.767
南,,无电梯,4,,BJ_0590,3室1厅,450.011328,石景山,精装,120.64,,3.7302
南,,有电梯,17,,BJ_0591,1室1厅,249.00036,石景山,精装,66.64,,3.7365
南,,有电梯,12,,BJ_0592,2室2厅,560.0052479999999,石景山,精装,102.52,,5.4624
南,,有电梯,13,,BJ_0593,2室1厅,240.00480000000002,石景山,精装,63.0,,3.8096
南,,有电梯,12,,BJ_0594,2室1厅,200.00140000000002,石景山,精装,58.0,,3.4483
南,,无电梯,5,,BJ_0595,2室1厅,315.0016,石景山,精装,64.0,,4.9219
南,,有电梯,18,,BJ_0596,1室1厅,243.003642,石景山,精装,65.86,,3.6897
南,,有电梯,11,,BJ_0597,2室1厅,290.001585,石景山,精装,90.47,,3.2055
南,,有电梯,15,,BJ_0598,3室2厅,750.002721,石景山,精装,147.81,,5.0741
南,,无电梯,2,,BJ_0599,2室2厅,410.0004,石景山,精装,108.0,,3.7963
南,,有电梯,7,,BJ_0600,3室2厅,750.0074999999999,石景山,精装,165.0,,4.5455
南,,有电梯,10,,BJ_0601,2室1厅,430.002,石景山,精装,108.0,,3.9815
南,,有电梯,11,,BJ_0602,2室0厅,160.000463,石景山,精装,43.43,,3.6841
南,,有电梯,25,,BJ_0603,2室1厅,170.00500000000002,石景山,精装,55.0,,3.091
南,,无电梯,6,,BJ_0604,2室1厅,265.00669,石景山,精装,68.38,,3.8755
南,,有电梯,10,,BJ_0605,2室0厅,170.002756,石景山,精装,54.38,,3.1262
南,,有电梯,14,,BJ_0606,3室2厅,810.0097200000001,石景山,精装,140.4,,5.7693
南,,无电梯,4,,BJ_0607,3室2厅,760.0047,石景山,精装,147.0,,5.1701
南,,有电梯,19,,BJ_0608,2室1厅,330.00094,石景山,精装,97.4,,3.3881
南,,有电梯,18,,BJ_0609,1室1厅,280.0008,石景山,精装,58.0,,4.8276
南,,有电梯,22,,BJ_0610,1室1厅,230.0022,石景山,精装,54.0,,4.2593
南,,无电梯,3,,BJ_0611,2室1厅,280.0044,石景山,精装,78.0,,3.5898
南,,有电梯,10,,BJ_0612,2室1厅,235.001,石景山,精装,65.0,,3.6154
南,,有电梯,6,,BJ_0613,3室1厅,262.002,石景山,精装,65.0,,4.0308
南,,有电梯,11,,BJ_0614,1室1厅,229.00148,石景山,精装,38.8,,5.9021
南,,无电梯,5,,BJ_0615,2室1厅,128.00050000000002,石景山,精装,59.0,,2.1695
南,,有电梯,17,,BJ_0616,3室1厅,300.0008,石景山,精装,88.0,,3.4091
南,,有电梯,13,,BJ_0617,2室1厅,195.00399199999998,石景山,精装,50.36,,3.8722
南,,有电梯,20,,BJ_0618,2室1厅,253.005456,石景山,精装,76.78,,3.2952
南,,有电梯,10,,BJ_0619,2室1厅,220.0008,石景山,精装,62.0,,3.5484
南,,有电梯,9,,BJ_0620,2室0厅,198.001557,石景山,精装,52.83,,3.7479
南,,有电梯,23,,BJ_0621,2室2厅,580.006479,石景山,精装,116.61,,4.9739
南,,有电梯,21,,BJ_0622,2室1厅,266.00250600000004,石景山,精装,61.38,,4.3337
南,,有电梯,10,,BJ_0623,4室2厅,565.004979,石景山,精装,185.57,,3.0447
南,,无电梯,3,,BJ_0624,4室2厅,1500.004792,石景山,精装,194.48,,7.7129
