"province_name"	"city_name"	"city_avg_price"	"city_avg_total_price"	"price_rent_ratio"	"listing_count"	"district_name"	"district_avg_price"	"district_ratio"
"福建"	"宁德"	"11219"	"125"	"39"	"78"	"蕉城区"	"11219"	"-1.48"
"福建"	"南平"	"7315"	"82"	"31"	"225"	"浦城县"	"7755"	"-1.33"
"福建"	"南平"	"7315"	"82"	"31"	"225"	"延平区"	"7751"	"-3.68"
"福建"	"南平"	"7315"	"82"	"31"	"225"	"建阳区"	"7303"	"-4.65"
"福建"	"南平"	"7315"	"82"	"31"	"225"	"邵武市"	"6392"	"-0.1"
"福建"	"莆田"	"11718"	"161"	"41"	"298"	"荔城区"	"14123"	"-1.04"
"福建"	"莆田"	"11718"	"161"	"41"	"298"	"城厢区"	"12320"	"-0.19"
"福建"	"莆田"	"11718"	"161"	"41"	"298"	"涵江区"	"9221"	"2.84"
"福建"	"莆田"	"11718"	"161"	"41"	"298"	"秀屿区"	"7092"	"12.22"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"丰泽区"	"16223"	"-5.53"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"鲤城区"	"16110"	"-6.41"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"晋江市"	"12319"	"-3.79"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"洛江区"	"12286"	"1.89"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"石狮市"	"10462"	"6.16"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"惠安县"	"8275"	"-9.28"
"福建"	"泉州"	"12316"	"150"	"43"	"685"	"南安市"	"7615"	"0.97"
"福建"	"三明"	"8706"	"88"	"33"	"66"	"三元区"	"8768"	"-8.94"
"福建"	"厦门"	"35039"	"386"	"71"	"942"	"思明区"	"46470"	"-3.18"
"福建"	"厦门"	"35039"	"386"	"71"	"942"	"湖里区"	"40716"	"-8.51"
"福建"	"厦门"	"35039"	"386"	"71"	"942"	"集美区"	"27621"	"-2.25"
"福建"	"厦门"	"35039"	"386"	"71"	"942"	"海沧区"	"22855"	"-5.27"
"福建"	"厦门"	"35039"	"386"	"71"	"942"	"翔安区"	"20220"	"-8.63"
"福建"	"厦门"	"35039"	"386"	"71"	"942"	"同安区"	"18501"	"-1.48"
"福建"	"漳州"	"10831"	"111"	"41"	"429"	"芗城区"	"12559"	"-1.59"
"福建"	"漳州"	"10831"	"111"	"41"	"429"	"龙文区"	"11818"	"-0.62"
"福建"	"漳州"	"10831"	"111"	"41"	"429"	"龙海区"	"8283"	"0.53"
"福建"	"漳州"	"10831"	"111"	"41"	"429"	"漳浦县"	"7880"	"3.69"
"甘肃"	"白银"	"5223"	"58"	"25"	"71"	"白银区"	"5223"	"3.53"
"甘肃"	"定西"	"6040"	"68"	"34"	"78"	"安定区"	"6033"	"3.89"
"甘肃"	"金昌"	"5299"	"64"	"23"	"34"	"金川区"	"5299"	"5.57"
"甘肃"	"酒泉"	"5958"	"64"	"29"	"321"	"肃州区"	"6137"	"2.08"
"甘肃"	"嘉峪关"	"4855"	"57"	"23"	"680"	"雄关区"	"4945"	"-3.3"
"甘肃"	"嘉峪关"	"4855"	"57"	"23"	"680"	"镜铁区"	"4804"	"0.42"
"甘肃"	"嘉峪关"	"4855"	"57"	"23"	"680"	"长城区"	"4484"	"-3.97"
"甘肃"	"陇南"	"7697"	"89"	"39"	"122"	"武都区"	"7712"	"-6.37"
"甘肃"	"临夏"	"6242"	"76"	"33"	"113"	"临夏市"	"6242"	"-0.48"
"甘肃"	"兰州"	"9365"	"90"	"30"	"1427"	"城关区"	"10694"	"-2.83"
"甘肃"	"兰州"	"9365"	"90"	"30"	"1427"	"安宁区"	"8861"	"-1.45"
"甘肃"	"兰州"	"9365"	"90"	"30"	"1427"	"七里河区"	"8837"	"-1.56"
"甘肃"	"兰州"	"9365"	"90"	"30"	"1427"	"西固区"	"7471"	"-0.54"
"甘肃"	"兰州"	"9365"	"90"	"30"	"1427"	"永登县"	"5565"	"2.16"
"甘肃"	"平凉"	"5740"	"65"	"28"	"146"	"崆峒区"	"5740"	"-0.17"
"甘肃"	"庆阳"	"7428"	"79"	"30"	"85"	"西峰区"	"7428"	"1.37"
"甘肃"	"天水"	"6790"	"71"	"30"	"272"	"秦州区"	"7072"	"-0.13"
"甘肃"	"天水"	"6790"	"71"	"30"	"272"	"麦积区"	"6229"	"9.12"
"甘肃"	"武威"	"5974"	"65"	"35"	"138"	"凉州区"	"5974"	"-2.22"
"甘肃"	"张掖"	"3649"	"41"	"25"	"163"	"甘州区"	"3871"	"3.04"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"南城区"	"26984"	"-14.57"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"东城区"	"26902"	"-3.97"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"大岭山镇"	"24438"	"5.39"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"寮步镇"	"21973"	"-6.24"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"虎门镇"	"21934"	"2.17"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"清溪镇"	"21721"	"31.57"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"大朗镇"	"21630"	"-10.04"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"莞城区"	"20687"	"6.45"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"长安镇"	"20664"	"-17.86"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"万江区"	"20192"	"-24.42"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"厚街镇"	"18992"	"-16.6"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"凤岗镇"	"14442"	"-7.96"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"黄江镇"	"12934"	"-17.82"
"广东"	"东莞"	"20993"	"334"	"67"	"1015"	"常平镇"	"12152"	"-11.92"
"广东"	"佛山"	"12636"	"169"	"41"	"2391"	"南海区"	"15176"	"-10.12"
"广东"	"佛山"	"12636"	"169"	"41"	"2391"	"禅城区"	"14507"	"-0.07"
"广东"	"佛山"	"12636"	"169"	"41"	"2391"	"顺德区"	"11201"	"-7.91"
"广东"	"佛山"	"12636"	"169"	"41"	"2391"	"三水区"	"8254"	"5.31"
"广东"	"佛山"	"12636"	"169"	"41"	"2391"	"高明区"	"7069"	"4.29"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"天河区"	"59759"	"-3.57"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"越秀区"	"54743"	"-0.84"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"海珠区"	"41121"	"-2.71"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"荔湾区"	"36596"	"0.46"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"白云区"	"29393"	"-3.93"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"黄埔区"	"28145"	"-6.44"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"番禺区"	"26490"	"-6.5"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"南沙区"	"18742"	"3.15"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"花都区"	"14875"	"-5.43"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"增城区"	"11842"	"-2.39"
"广东"	"广州"	"32433"	"377"	"50"	"3193"	"从化区"	"9908"	"4.82"
"广东"	"河源"	"5348"	"71"	"35"	"155"	"源城区"	"5478"	"0.75"
"广东"	"河源"	"5348"	"71"	"35"	"155"	"东源县"	"5050"	"-2.24"
"广东"	"惠州"	"8576"	"113"	"35"	"1459"	"惠城区"	"9876"	"0.69"
"广东"	"惠州"	"8576"	"113"	"35"	"1459"	"惠东县"	"8624"	"1.12"
"广东"	"惠州"	"8576"	"113"	"35"	"1459"	"惠阳区"	"8131"	"-0.04"
"广东"	"惠州"	"8576"	"113"	"35"	"1459"	"博罗县"	"6371"	"1.6"
"广东"	"江门"	"7332"	"89"	"30"	"531"	"蓬江区"	"8061"	"-1.44"
"广东"	"江门"	"7332"	"89"	"30"	"531"	"新会区"	"7600"	"0.62"
"广东"	"江门"	"7332"	"89"	"30"	"531"	"江海区"	"7280"	"7.32"
"广东"	"江门"	"7332"	"89"	"30"	"531"	"鹤山市"	"7118"	"3.61"
"广东"	"江门"	"7332"	"89"	"30"	"531"	"开平市"	"5767"	"4.01"
"广东"	"江门"	"7332"	"89"	"30"	"531"	"台山市"	"5484"	"-3.79"
"广东"	"揭阳"	"7831"	"118"	"32"	"101"	"榕城区"	"7059"	"0.51"
"广东"	"茂名"	"7111"	"92"	"29"	"193"	"茂南区"	"7752"	"5.91"
"广东"	"茂名"	"7111"	"92"	"29"	"193"	"电白区"	"5860"	"7.25"
"广东"	"梅州"	"6513"	"87"	"32"	"76"	"梅江区"	"6540"	"3.57"
"广东"	"清远"	"5094"	"61"	"28"	"645"	"清城区"	"5155"	"-1.21"
"广东"	"清远"	"5094"	"61"	"28"	"645"	"清新区"	"4295"	"-5.46"
"广东"	"韶关"	"5740"	"77"	"28"	"218"	"武江区"	"6436"	"4.39"
"广东"	"韶关"	"5740"	"77"	"28"	"218"	"翁源县"	"5824"	"-0.98"
"广东"	"汕头"	"11135"	"143"	"30"	"1997"	"龙湖区"	"11795"	"-0.13"
"广东"	"汕头"	"11135"	"143"	"30"	"1997"	"金平区"	"10133"	"-1.62"
"广东"	"汕头"	"11135"	"143"	"30"	"1997"	"濠江区"	"8540"	"-0.68"
"广东"	"云浮"	"4384"	"55"	"24"	"172"	"云城区"	"5260"	"0.79"
"广东"	"云浮"	"4384"	"55"	"24"	"172"	"新兴县"	"4110"	"1.7"
"广东"	"阳江"	"5252"	"65"	"27"	"256"	"江城区"	"5421"	"-1.5"
"广东"	"阳江"	"5252"	"65"	"27"	"256"	"阳春市"	"4961"	"0.81"
"广东"	"珠海"	"20714"	"272"	"50"	"707"	"香洲区"	"25439"	"-1.05"
"广东"	"珠海"	"20714"	"272"	"50"	"707"	"金湾区"	"13323"	"0.27"
"广东"	"珠海"	"20714"	"272"	"50"	"707"	"斗门区"	"9225"	"-3.9"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"南朗镇"	"12312"	"-9.23"
"广东"	"中山"	"8851"	"110"	"34"	"1506"	"东区"	"11925"	"-7.68"
