city,current_price,historical_count,forecast_periods,trend,change_percent,confidence,linear_formula,linear_r_squared,linear_slope,linear_trend,polynomial_formula,polynomial_r_squared,polynomial_degree,exponential_alpha,exponential_formula,exponential_last_smoothed,exponential_trend,ma_window_size,ma_formula,ma_base_prediction,ma_trend
银川,8216,108,36,上涨,2.3,中等,y = 34.84x + 5426.24,0.8312622587781325,34.83811578877171,上升,-0.5154x^2 + 89.9847x^1 + 4451.9875x^0,0.9726806948761786,2,0.3,基于alpha=0.3的指数平滑,8215.403408931783,0.0,3,最近3期移动平均，趋势调整:0.0000,8216.0,0.0
上海,58624,108,36,上涨,2.74,中等,y = 95.95x + 46412.92,0.353449514627975,95.94930787771395,上升,2.9438x^2 + -219.0370x^1 + 51977.6746x^0,0.6120723741487988,2,0.3,基于alpha=0.3的指数平滑,58638.635530595944,-244.0,3,最近3期移动平均，趋势调整:-244.0000,58868.0,-244.0
天津,20603,108,36,持平,0.38,中等,y = 11.73x + 18838.29,0.12716482173060858,11.733768708260689,上升,0.1055x^2 + 0.4421x^1 + 19037.7750x^0,0.13516030027928583,2,0.3,基于alpha=0.3的指数平滑,20344.497458081765,0.0,3,最近3期移动平均，趋势调整:0.0000,20603.0,0.0
重庆,11270,108,36,下跌,-6.12,中等,y = -8.37x + 11934.84,0.10229174773997673,-8.373927043737556,下降,-0.1449x^2 + 7.1310x^1 + 11660.9178x^0,0.1261019035721238,2,0.3,基于alpha=0.3的指数平滑,11283.466070583761,-9.666666666666666,3,最近3期移动平均，趋势调整:-9.6667,11279.666666666666,-9.666666666666666
呼和浩特,10854,108,36,下跌,-8.82,中等,y = 29.15x + 8900.53,0.373947223011684,29.145250412034258,上升,-1.1740x^2 + 154.7598x^1 + 6681.3440x^0,0.8455696647663902,2,0.3,基于alpha=0.3的指数平滑,10857.995668081508,0.0,3,最近3期移动平均，趋势调整:0.0000,10854.0,0.0
西安,16178,108,36,上涨,4.5,中等,y = 79.70x + 9482.48,0.8998996289469519,79.70367829889392,上升,-0.8067x^2 + 166.0251x^1 + 7957.4703x^0,0.9715658833665672,2,0.3,基于alpha=0.3的指数平滑,16219.16184047112,-12.0,3,最近3期移动平均，趋势调整:-12.0000,16190.0,-12.0
长沙,10767,108,36,上涨,12.2,中等,y = 14.59x + 9368.74,0.4361669126085952,14.592290910476622,上升,0.0875x^2 + 5.2340x^1 + 9534.0683x^0,0.4483466873815345,2,0.3,基于alpha=0.3的指数平滑,10712.411218746533,46.666666666666664,3,最近3期移动平均，趋势调整:46.6667,10722.666666666666,46.666666666666664
沈阳,12078,108,36,下跌,-9.36,中等,y = 38.65x + 9591.50,0.5048708457031149,38.649265959777836,上升,-1.3060x^2 + 178.3902x^1 + 7122.7398x^0,0.9529808429979506,2,0.3,基于alpha=0.3的指数平滑,12109.635351307383,-20.333333333333332,3,最近3期移动平均，趋势调整:-20.3333,12098.333333333334,-20.333333333333332
太原,10847,108,36,下跌,-8.23,中等,y = -1.01x + 11019.04,0.0009808031165197922,-1.0130279040079264,下降,-0.5141x^2 + 53.9972x^1 + 10047.1927x^0,0.19734632486853865,2,0.3,基于alpha=0.3的指数平滑,10842.465723585075,0.0,3,最近3期移动平均，趋势调整:0.0000,10847.0,0.0
南京,29644,108,36,上涨,15.22,中等,y = 126.96x + 17121.92,0.8387189083995401,126.96398391875545,上升,0.9674x^2 + 23.4560x^1 + 18950.5594x^0,0.8765669255915385,2,0.3,基于alpha=0.3的指数平滑,29618.21429006059,0.0,3,最近3期移动平均，趋势调整:0.0000,29644.0,0.0
海口,15565,108,36,持平,-0.97,中等,y = 6.80x + 14530.62,0.024409031618212687,6.796750407270856,上升,-0.0719x^2 + 14.4924x^1 + 14394.6678x^0,0.02653362340171428,2,0.3,基于alpha=0.3的指数平滑,15590.176519459246,0.0,3,最近3期移动平均，趋势调整:0.0000,15565.0,0.0
北京,48482,108,36,上涨,4.72,中等,y = 103.62x + 37407.14,0.49963884618170024,103.61716063143655,上升,0.5989x^2 + 39.5384x^1 + 38539.1977x^0,0.5126124601614419,2,0.3,基于alpha=0.3的指数平滑,48471.39430486277,-35.666666666666664,3,最近3期移动平均，趋势调整:-35.6667,48517.666666666664,-35.666666666666664
深圳,54990,108,36,上涨,9.15,中等,y = 114.29x + 45852.95,0.43072499997138214,114.29446397439195,上升,1.2642x^2 + -20.9772x^1 + 48242.7492x^0,0.4716890660091414,2,0.3,基于alpha=0.3的指数平滑,55324.80536708119,-49.666666666666664,3,最近3期移动平均，趋势调整:-49.6667,55039.666666666664,-49.666666666666664
